0815,po,fu,0,1
0830,po,mc,0,1
0912,po,bo,2,3
0926,po,ev,0,1
1017,po,to,1,2
1031,po,wi,4,0
1128,po,mu,1,4
1205,po,bu,2,0
1219,po,li,2,0
1230,po,ar,1,4
0126,po,wh,1,1
0209,po,su,1,1
0220,po,st,1,2
0309,po,bi,1,2
0320,po,hu,3,2
0324,po,ch,0,5
0819,bu,mu,1,0
0823,bu,ev,1,0
0919,bu,su,3,1
1003,bu,bi,2,1
1024,bu,wi,1,3
1031,bu,hu,2,0
1121,bu,av,1,1
1212,bu,fu,1,1
1216,bu,ar,1,1
1226,bu,bo,1,1
0130,bu,ch,1,2
0206,bu,wh,2,1
0227,bu,po,1,2
0310,bu,st,1,1
0313,bu,wo,1,2
0328,bu,bl,0,1
0819,hu,to,1,5
0822,hu,bo,1,0
0919,hu,bi,0,1
1003,hu,wi,2,1
1024,hu,po,0,0
1108,hu,st,2,1
1121,hu,wh,3,3
1125,hu,ev,3,2
1212,hu,bl,0,0
1227,hu,mu,1,3
0130,hu,wo,2,2
0202,hu,ch,1,1
0206,hu,mc,2,1
0313,hu,ar,1,2
0327,hu,fu,2,0
0823,wh,to,1,2
0919,wh,li,2,3
1004,wh,fu,2,2
1025,wh,ar,2,2
1104,wh,av,2,1
1108,wh,ev,1,2
1128,wh,bu,5,3
1205,wh,mu,0,4
1220,wh,ch,1,1
1226,wh,po,2,0
0130,wh,bl,0,0
0210,wh,bi,2,0
0220,wh,hu,3,0
0306,wh,bo,1,2
0323,wh,wo,1,3
0327,wh,st,0,1
0818,wi,wo,0,1
0822,wi,mu,0,5
0912,wi,wh,1,0
0926,wi,ch,3,1
1018,wi,mc,1,1
1108,wi,fu,1,1
1128,wi,su,1,0
1205,wi,bi,2,3
1226,wi,bl,1,1
0130,wi,ev,0,1
0209,wi,st,1,1
0217,wi,bo,0,0
0221,wi,to,0,3
0308,wi,li,1,0
0316,wi,av,1,2
0320,wi,bu,1,0
0815,wo,wh,0,2
0829,wo,hu,1,1
0920,wo,fu,2,1
1003,wo,po,0,1
1024,wo,av,1,1
1107,wo,ar,1,4
1129,wo,bi,0,1
1205,wo,bo,2,1
1220,wo,bu,2,0
1228,wo,mc,0,3
0116,wo,wi,0,2
0126,wo,li,0,0
0210,wo,to,1,0
0220,wo,ch,0,2
0306,wo,mu,0,1
0327,wo,ev,0,0
0815,bo,su,0,1
0829,bo,li,2,3
0919,bo,st,1,1
1003,bo,to,2,2
1025,bo,ev,3,2
1031,bo,ch,0,4
1122,bo,bl,0,2
1212,bo,mc,3,3
1215,bo,wh,3,1
1229,bo,hu,2,2
0117,bo,ar,0,2
0126,bo,bu,1,0
0206,bo,fu,0,0
0227,bo,wo,1,0
0313,bo,wi,4,0
0327,bo,mu,0,4
0818,su,ch,1,3
0822,su,bl,2,1
0912,su,hu,4,1
0927,su,wo,5,2
1017,su,li,1,0
1031,su,wh,2,2
1121,su,ar,1,0
1212,su,po,1,1
1215,su,av,0,2
1226,su,ev,1,1
0201,su,st,0,0
0206,su,wi,1,1
0228,su,fu,0,0
0309,su,bo,4,0
0314,su,mc,1,1
0320,su,bi,3,1
0815,bl,mc,0,2
0829,bl,wh,0,0
0912,bl,wo,3,1
0926,bl,av,2,1
1018,bl,bu,3,2
1107,bl,po,3,1
1128,bl,st,0,0
1205,bl,li,0,0
1219,bl,to,0,2
1228,bl,su,2,2
0117,bl,fu,2,0
0127,bl,wi,2,1
0210,bl,hu,1,0
0221,bl,bo,3,0
0321,bl,ch,1,1
0324,bl,bi,2,1
0823,fu,ch,0,2
0913,fu,ev,2,1
0926,fu,ar,0,1
1019,fu,hu,2,0
1031,fu,li,3,1
1125,fu,bl,3,0
1128,fu,bo,1,1
1206,fu,su,1,0
1219,fu,mu,3,0
1226,fu,to,0,0
0130,fu,av,0,2
0203,fu,po,1,0
0209,fu,bu,3,0
0221,fu,bi,2,1
0321,fu,mc,1,2
0815,st,bu,2,0
0829,st,su,1,0
0912,st,ch,1,2
0926,st,mu,0,2
1017,st,wh,2,1
1031,st,wo,2,2
1122,st,po,1,0
1212,st,wi,2,2
1228,st,bi,0,1
0105,st,fu,3,2
0116,st,li,1,1
0206,st,bl,3,0
0216,st,mc,1,1
0227,st,ar,1,3
0313,st,av,0,0
0320,st,to,1,2
0819,bi,po,1,0
0822,bi,st,0,0
